Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"d:\Program Files\Common Files\Microsoft Shared\MSInfo\IEINFO5.OCX","Unsigned","08:35 18/08/2001","n/a","Microsoft Corporation","Microsoft System Information IE Extension","Microsoft® Windows® Operating System","6.00.2600.0000","6.00.2600.0000 (xpclient.010817-1148)","32-bit","E7751E6684EBE5BB16D8999FB1E9AA8D","6C753C494FCD81549487A0E29C3F3A83464F4BD5","31BC3A0322237C9B4AFF1737BA9F3683EF8B554E","C2E111F058E87AFB21855DCEE57A240D48546116D8094A276B5E381C1B97BB23","C399EC5E8750134B817CBBE2BB6F5B00AE9AB56A8CA28018942D62AB9FD49EA2","66B52D6386DBAC6448264A83187D6018"
"d:\Program Files\Common Files\Microsoft Shared\MSInfo\msinfo32.exe","Unsigned","23:51 17/08/2001","n/a","Microsoft Corporation","System Information","Microsoft® Windows® Operating System","5.1.2600.0","5.1.2600.0 (XPClient.010817-1148)","32-bit","090D5891041E35E18C77F664581C0BD6","CF3FDCFE52F5B915C10FD778B5E1DD091F4E847B","4F0B6E655F6224676B1AD13EE85987659A6C58F9","00EDBB4490E11CEB75801940F1F85F86CCD687823D56971C2DED00C1D5C49711","1D5CAE50081A57E7B55BEF220788D9065483FF1A8D39C3CA8DF39F60CDF231AF","34B13C847810BD6458D17F352A75908B"
"d:\Program Files\Common Files\Microsoft Shared\Speech\sapi.cpl","Unsigned","03:10 14/04/2008","n/a","Microsoft Corporation","SAPI 5","Microsoft® Windows(TM) Operating System","5.1.4111.00 ","5.1.4111.00  (xpsp.080413-0852)","32-bit","1A56EB64786813F639A2CCAA7BB05821","11C184CD2307E4E64BC0D4C579709D17DCCFD375","2A7AF2B1DAAB184BC31330B741EF5A5E6FF67A75","9D245620D6FC1CBBA77BECB3E7BA33C7AB5421EC84479A78AB1C37984E60031A","F8097C921B9D1A5AB51932EA111E3462D0FB00DCF985CD15B2FD47B76ADCF11A","9DD0E15EFC2A6FE1E17C2B556A640084"
"d:\Program Files\Common Files\Microsoft Shared\Speech\sapi.dll","Unsigned","03:10 14/04/2008","n/a","Microsoft Corporation","SAPI 5","Microsoft® Windows(TM) Operating System","5.1.4111.00 ","5.1.4111.00  (xpsp.080413-0852)","32-bit","81F63A7037E2815B771646CE44884800","C29AAD7A4769E1BF84D6B69912157DD9D9F57DEE","7C1A8DFAB6801F0FCCAA535BE632C0CEDCF05C82","4F4D637D621C90F1C8DD7FC5364D454DBB34E62422FCDCD0B8F32FA5C8850C21","F6EDFBBCB74D0D0BA2CA7BB8E00784FAF0D442888A5C8E8D8BCB3F0BB74FB13F","F8BD18F0ABB58D352CB26DFB8E731F52"
"d:\Program Files\Common Files\Microsoft Shared\Speech\sapisvr.exe","Unsigned","23:50 17/08/2001","n/a","Microsoft Corporation","SAPISVR 5","Microsoft® Windows(TM) Operating System","5.1.4111.00 ","5.1.4111.00  (XPClient.010817-1148)","32-bit","81420500B4D35C6BDA89D6B694972C31","C1400F2B330899C001568D5C3F03F6203F459093","C199DEC8090210B7A848AA17634F244CB946C750","721A05F60FBD4FA177BEF7789FDB9D1BC8F2191AC06B919877556E06B4C13119","56873A79D27CD9662EC82314F90240FA69A112EF4AD92039132190452578452A","F51E8BE6398A9BE0A7DF6FD2423FB6EE"
"d:\Program Files\Common Files\Microsoft Shared\Speech\1033\spcplui.dll","Unsigned","08:36 18/08/2001","n/a","Microsoft Corporation","SAPI 5","Microsoft® Windows(TM) Operating System","5.1.4111.00 ","5.1.4111.00  (XPClient.010817-1148)","32-bit","CF4A3C495F6D3C08FB39A89B8E142EE4","A7ABA9F792757609EE1AC1A64F1BBC6E0F4C43FB","F54E10657230C690DCE471182EAE2F047A5F8DD9","B92ED44338D8F4BAB8C17A4781335E7FCEE6ADD5A582A6C3764F15AB43D030EB","6E25CE3E9E12BBEA9210D370172929E728684EA4C0884C893BB1EB79CF5696F6","n/a"
"d:\Program Files\Common Files\Microsoft Shared\TextConv\mswrd632.wpc","Unsigned","04:38 08/08/1999","n/a","Microsoft Corporation","Word 6.0/95 Converter","Microsoft Document Converters","8.0","99080700","32-bit","92E8C383393104E34E7BCD094F5F3D22","79D0EBD4AA3420062908BA535B4516C430B35B8B","11FD8FD401D6A8785F56A91D74B3D4D7E22DAED7","CC3869832ADFB8F0327A9E752D2224DA30088D5ED64888CE882D40C81238F3D7","0BBDAFA284F5DFD958EBA6E8BE93CF2CC0A129B4761268A97671CA9F65694933","3D8267D4803F0913C75EBB30336700CB"
"d:\Program Files\Common Files\Microsoft Shared\TextConv\mswrd832.cnv","Unsigned","03:22 10/11/2000","n/a","Microsoft Corporation","Word 97 Converter","Microsoft Document Converters","10.0","2000110900","32-bit","0C79E223D084B82635A0C7EF738431EB","1045160A7DE79BB376887C9D97FBA264E52A2ABA","EB032D0037506CABACCF0087E0875F27F31E101B","C856C400087C9058CEFF5A17EB55D7BD1E08E44FEAF87EFA770C5EEEA02D87EE","E53957F7DCA6D9567504123E972C74682041076B65236882D1A169D8B6E93C41","1D020DA623423A1E57A696B2FF701177"
"d:\Program Files\Common Files\Microsoft Shared\TextConv\write32.wpc","Unsigned","04:32 08/08/1999","n/a","Microsoft Corporation","Windows Write Converter","Microsoft Document Converters","8.0","99080700","32-bit","A8E211B85DF784AF9375D557AF87EB3A","1BB0BB6DAB3B1600DD12F690BB2F4D794F53FEAB","206590783F5A0C51C50AF124B618E4B77D3533D1","8473215A42846A7A9A3618223B8C92A7C58693B2B6B6E657DD08EF29C27C7689","76AC8B6B8004F9077901FBAEF9B8EC006B027816FE6D2A2A555F3362AC4AD045","6D7954E87B1950F13EA0F089018311A9"
"d:\Program Files\Common Files\Microsoft Shared\Triedit\DHTMLED.OCX","Unsigned","03:09 14/04/2008","n/a","Microsoft Corporation","Microsoft (R) Dynamic HTML Editing Control","DHTML Editing Component","6.01.9234","6.01.9234","32-bit","84BF5653963123EA589A18C177A26A59","15CDF5CEA9954E8CBDD242F02DAD008AA38E61D4","99399C22B526F55E9F6BDFEE16E950230A177291","F24E7D704B8FF9BA43544692DCB46419D8A87C3EF2CFB5D1D970E7C9A39BD97B","E143BC9022D4ACB3D09F5B4C02F489233CB8ECBAE3E31937568D114EE929F04F","374C6B476BD96862453631EDC4B1EC7E"
